storyID,标题,所属模块,需求层级,状态,内容摘要
39,首页,首页,SR,激活/研发完毕,有内容
40,弹窗规范,通用规范,功能,已关闭/重复#51,空
41,字体字色规范,通用规范,功能,已关闭,空
42,倒计时展示规范,通用规范,功能,草稿/未开始,有内容
43,统一标准用词文案,通用规范,功能,草稿/研发立项,有内容
44,活动权重配置模块说明,活动模块,SR,草稿/未开始,有内容
45,bonus兑换功能（重复）,活动模块,功能,已删除,空
46,签到活动（重复）,活动模块,功能,已删除,空
47,首充活动（重复）,活动模块,功能,已删除,空
48,首页,首页,SR,激活/研发完毕,有内容
49,活动中心页,活动模块,SR,草稿/未开始,有内容
50,活动权重配置模块说明,活动模块,功能,已关闭,空
51,弹窗以及提醒规范,通用规范,功能,草稿/未开始,有内容
52,支付渠道配置,支付模块,SR,草稿/未开始,有内容
53,预估奖金调整说明,活动模块,功能,已关闭,空
54,奖励领取规范,通用规范,功能,已关闭/不做,有内容
55,快捷登录配置,用户模块,SR,草稿/未开始,有内容
56,应用配置SR,应用配置,SR,草稿/未开始,有内容
57,全局通用规范文档说明,通用规范,SR,激活/已完成,有内容
58,WhatsApp注册登录（重复）,用户模块,功能,已删除,空
59,三方游戏接口,游戏模块,SR,草稿/未开始,有内容
60,输入法弹出规范,通用规范,功能,草稿/未开始,有内容
61,全局通用规范文档说明,通用规范,SR,激活/已完成,有内容
62,特殊场景规范,通用规范,功能,草稿/未开始,有内容
63,金额展示规范,通用规范,功能,草稿/未开始,有内容
64,GM后台-用户模块,用户模块,SR,激活/研发完毕,有内容
65,GM后台（已删除）,GM后台,SR,已删除,空
66,支付充值模块反向支付,支付模块,SR,草稿/未开始,有内容
67,注册/登录配置,用户模块,SR,草稿/未开始,有内容
68,三方游戏平台配置(IOS/PC),活动模块,功能,激活,有内容
69,三方游戏平台配置(Android),活动模块,功能,激活,有内容
70,投注返利活动,活动模块,功能,草稿/未开始,有内容
71,基础VIP系统,会员模块,SR,激活/研发完毕,有内容
72,运营位管理系统,运营模块,SR,激活/已完毕,有内容
73,注册送活动,活动模块,SR,激活/已完毕,有内容
74,流水计算逻辑,应用配置,SR,激活/已完毕,有内容
75,首页红点提醒,用户模块,功能,激活,有内容
76,三方游戏平台配置3,活动模块,功能,激活,有内容
78,充值统计,支付模块,SR,激活/未开始,有内容
79,提款统计,支付模块,SR,激活/未开始,有内容
80,游戏统计,游戏模块,SR,激活/未开始,有内容
81,活动统计,统计模块,SR,激活/研发立项,有内容
82,用户统计#2,统计模块,SR,激活/研发立项,有内容
83,全局统计,统计模块,SR,激活,有内容
84,代理系统,代理模块,SR,激活/研发立项,有内容
85,平台多地区兼容调整,通用规范,SR,激活/研发完毕,有内容
86,登录掉线强制弹窗,通用规范,SR,激活/研发立项,有内容
87,代理系统后台,代理模块,SR,激活/研发立项,有内容
88,多地区调整2.0,其他,SR,激活/研发完毕,有内容
89,美区提款预设金额调整,支付模块,SR,激活/研发完毕,有内容
